Sample Number,Well Location,plate,Sample Name,BOX,ROW,COLUMN,Concentration ng/ul
603,C04,7,982,7,1,C,6.67
604,D04,7,1820,7,1,D,8.05
605,E04,7,987,7,1,E,7.1
606,F04,7,379,7,1,F,1.27
607,G04,7,1256,7,1,G,5.65
608,H04,7,1849,7,1,H,5.96
609,A05,7,1827,7,1,I,3.2
610,B05,7,429,7,1,J,0.92
611,C05,7,1129,7,2,A,4.05
612,D05,7,519,7,2,B,1.03
613,E05,7,1294,7,2,C,5.22
614,F05,7,127,7,2,D,0.56
615,G05,7,717,7,2,E,4.33
616,H05,7,1627,7,2,F,4.03
617,A06,7,1609,7,2,G,4.58
618,B06,7,2290,7,2,H,6.25
619,C06,7,1409,7,2,I,6.7
620,D06,7,559,7,2,J,3.26
621,E06,7,187,7,3,A,4.1
622,F06,7,1632,7,3,B,3.93
623,G06,7,507,7,3,C,6.94
624,H06,7,1415,7,3,D,3.39
625,A07,7,497,7,3,E,3.86
626,B07,7,542,7,3,F,4.79
627,C07,7,2197,7,3,G,5.02
628,D07,7,2051,7,3,H,3.72
629,E07,7,1493,7,3,I,4.32
630,F07,7,1215,7,3,J,5.79
631,G07,7,2068,7,4,A,5.2
632,H07,7,805,7,4,B,5.62
633,A08,7,500,7,4,C,4.11
